"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
16,12,6,12,2,20,0,0,26,26,2,0,2,0,18,8,24,16,14,0,12,18,28,22,16,24,24,2,16,6,16,12,12,12,2,18,10,18,24,18,14,10,2,14,2,24,14,2,0,0,0,4,2,0,18,14,6,16,4,2,4,6,4,2,12,8,0,16,0,2,6,2,2,0,16,2,0,18,2,20,18,2,2,6,4,16,26,26,0,16,2,22,14,0,2,12,16,14,4,8
36,28,34,38,42,36,38,42,42,30,44,30,44,32,40,36,42,42,36,30,36,34,42,28,42,28,30,26,40,44,42,50,44,46,30,42,48,42,50,44,42,34,32,30,42,42,42,44,44,28,40,34,28,52,46,42,48,42,28,42,46,40,44,46,30,42,34,32,46,40,28,46,46,26,48,26,44,42,44,36,40,34,38,44,38,34,36,24,34,42,44,30,36,38,30,40,42,44,36,40
50,46,60,56,46,52,48,44,60,48,50,48,50,60,50,54,54,50,56,46,48,52,60,58,48,48,58,44,56,58,54,50,58,50,52,58,50,56,50,54,58,58,50,54,54,50,38,58,54,50,56,56,52,52,52,54,56,50,58,56,54,44,48,50,48,44,50,52,60,54,56,56,50,46,48,50,48,42,52,50,58,58,60,56,54,48,44,54,56,48,60,48,50,52,56,54,54,48,52,54
58,60,58,60,62,60,64,60,64,54,58,64,62,62,60,58,60,64,62,66,60,60,62,62,66,66,64,62,58,64,64,64,62,66,60,58,62,64,60,64,64,60,56,62,56,62,60,66,60,60,62,66,62,58,66,64,62,58,54,62,60,66,60,64,64,66,62,62,62,60,62,64,64,60,62,60,60,58,64,62,64,64,62,66,58,62,64,62,64,62,60,58,62,58,64,58,56,56,60,60
