"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
22,30,20,30,12,32,34,24,20,34,16,30,26,20,28,18,30,18,30,26,24,26,26,16,20,22,24,14,26,28,30,18,36,32,20,28,20,26,30,36,26,12,24,32,28,28,30,32,26,24,28,38,30,30,32,18,14,34,36,26,32,34,32,22,28,28,22,22,26,24,28,16,26,34,24,38,24,34,28,26,20,34,14,32,34,22,34,24,20,32,26,32,34,34,24,22,28,28,34,22
50,52,52,50,40,46,44,46,48,56,54,50,52,40,48,52,42,52,54,52,46,44,50,52,46,56,44,52,46,50,52,42,48,48,52,38,46,50,38,50,52,46,42,46,52,54,44,52,46,54,48,44,44,54,50,52,48,46,48,48,50,48,54,54,50,42,50,52,42,48,48,46,50,50,60,48,52,58,46,48,58,54,48,44,48,50,48,48,50,54,46,40,54,50,50,44,52,42,40,46
50,62,54,54,50,54,48,52,58,54,56,54,60,56,52,50,52,56,54,54,54,52,54,52,56,56,50,56,50,56,54,56,52,54,60,56,50,58,52,52,50,50,58,56,56,66,62,44,50,54,50,54,54,54,44,50,52,50,56,56,56,50,56,54,52,54,60,46,58,54,60,52,50,48,48,50,60,58,52,54,54,44,56,46,54,48,52,56,52,54,54,58,58,54,52,54,54,52,56,54
